state,year,mean_mb,median_mb,std_mb,n_obs,mean_pe,median_pe,total_mktcap,mean_mktcap,total_emp,n_firms,mb_change,pe_change,mktcap_change,log_mb_change,log_mktcap_change
AB,1990,3.1178514179227728,1.8955645656602687,3.19919009636546,8,16.188490128674033,15.730621981387678,1219.2545536622,152.406819207775,1.674,8,,,,,
AB,1991,4.649893188719818,1.7313202919428776,7.447144988240654,8,69.00128865699939,69.00128865699939,1152.4119129406201,144.05148911757752,0.922,8,49.137741522581855,204.84931455406465,-5.482254753185756,39.97001326749707,-5.638258872735591
AB,1992,3.2033955354503436,1.2499279831349597,3.6169765440597974,9,20.419306597303507,22.539480967384826,1049.2396803682,116.58218670757778,2.6159999999999997,9,-31.10819097476335,-66.38524683719761,-8.952721801456798,-37.26328971075492,-9.379127374242202
AB,1993,2.4677743489596247,1.3129603673992785,2.075261330193566,9,28.946391905788996,19.912175919937873,1103.38156738537,122.59795193170778,3.122,9,-22.963795083996796,41.759916125709886,5.160106697277267,-26.089468092650637,5.03138284915341
AB,1994,1.5747665639954136,1.3352077583519542,0.8313901686974654,8,76.49506672198993,95.35993579189991,1047.03389886143,130.87923735767876,2.558,8,-36.18676826512478,164.26459978485838,-5.106816190292573,-44.92096231769408,-5.2418307928485675
AB,1995,2.9646379237856797,1.7207712253472398,4.22116665689153,10,15.191491365723376,9.139933030892202,1957.6971882276998,195.76971882277,5.455,10,88.25888176492387,-66.38524683719761,86.97553062575597,63.264786026910436,62.58075700359056
AB,1996,1.9842228413819363,2.020058534903411,0.6686456909670262,10,30.529602355694614,13.061319597743438,3505.28099745732,350.528099745732,5.7589999999999995,10,-33.070314406280254,100.96514305750573,79.05123522349469,-40.1527586425499,58.25018091954392
AB,1997,5.863530596998393,1.8790121647369193,12.887022999173691,11,30.48777011025859,17.451580022631347,15449.41890247796,1404.4926274979964,8.188,11,195.50766550568812,-0.13702191384166174,202.25133109034746,108.35245913191957,110.60859596795339
AB,1998,2.0693413208800626,1.074863734940191,3.3206588916044986,10,22.854871274947755,8.522888688016529,3058.600825,305.8600825,9.152000000000001,10,-64.70827112355512,-25.035936730389153,-61.083119009931615,-104.15215589527413,-94.38595973328877
AB,1999,4.24017785856355,1.2923036876355747,9.309582280010808,11,10.723248462889766,11.324242424242424,3770.2314012499996,342.7483092045454,9.667,11,104.90471126146845,-53.08112509632028,23.266539733899382,71.73748619717765,20.917881455507725
AB,2000,2.4085353228291724,1.9193249634293161,2.024392314857669,11,21.906234457164384,13.88390559809164,4300.554085,390.95946227272725,10.205,11,-43.197304378049964,104.28729720267023,14.066051319135852,-56.55864032541641,13.16074921567374
AB,2001,6.014117582774596,1.8098099461514094,8.067528797961241,15,10.626248194902374,7.2647382113459695,3556.40505,237.09367,5.116,15,149.70020268210754,-51.492127888610796,-17.303561826963975,91.50908229997799,-18.99936541358187
AB,2002,4.776539501290612,1.775098546042003,5.1962753743847205,15,9.353928182545378,7.8831627140048806,4000.5428,266.70285333333334,12.628,15,-20.57788303023219,-11.97336998930021,12.48839048859185,-23.039330526667822,11.76798346743837
AB,2003,6.480498761548774,3.4898497495826377,6.5131733280394,17,42.30430413085309,26.93629610123477,9452.890116,556.0523597647059,12.286,17,35.67350923817871,204.84931455406465,136.29018832144476,30.50811461595608,85.98904752159359
AB,2004,9.111967014753251,5.914207743476036,7.498093313051912,19,20.377156997992554,11.64762664288085,13424.501460000001,706.5527084210527,12.917,19,40.60595256676791,-51.831953233498005,42.014783788480045,34.07911293825337,35.0760977380455
AB,2005,9.162473865545948,4.878687948455118,11.42465749652337,17,40.316393898037084,16.063879785231155,12081.95905,710.7034735294118,9.75,17,0.5542914138179089,97.8509264173056,-10.000687280643362,0.5527608721300759,-10.536815213857764
