state,year,unemployment_rate
AL,1995,5.8500000000000005
AL,1996,5.191666666666666
AL,1997,4.95
AL,1998,4.458333333333333
AL,1999,4.733333333333333
AL,2000,4.641666666666667
AL,2001,5.1499999999999995
AL,2002,5.891666666666667
AL,2003,5.95
AL,2004,5.575
AL,2005,4.458333333333333
AL,2006,4.008333333333333
AL,2007,4.066666666666666
AL,2008,5.916666666666667
AL,2009,9.733333333333333
AL,2010,10.375
AL,2011,9.558333333333334
AL,2012,8.174999999999999
AL,2013,7.358333333333333
AL,2014,6.766666666666667
AL,2015,6.083333333333333
AL,2016,5.8
AL,2017,4.508333333333334
AL,2018,3.9250000000000003
AL,2019,3.1916666666666664
AL,2020,6.408333333333334
AL,2021,3.35
AL,2022,2.4916666666666667
AL,2023,2.4666666666666663
AK,1995,7.316666666666666
AK,1996,7.458333333333333
AK,1997,6.983333333333333
AK,1998,6.316666666666666
AK,1999,6.3500000000000005
AK,2000,6.291666666666667
AK,2001,6.283333333333334
AK,2002,7.166666666666667
AK,2003,7.675
AK,2004,7.416666666666667
AK,2005,6.925
AK,2006,6.616666666666667
AK,2007,6.25
AK,2008,6.508333333333333
AK,2009,7.833333333333333
AK,2010,7.991666666666667
AK,2011,7.608333333333333
AK,2012,7.133333333333333
AK,2013,6.925000000000001
AK,2014,6.741666666666667
AK,2015,6.283333333333334
AK,2016,6.625
AK,2017,6.608333333333333
AK,2018,6.091666666666666
AK,2019,5.6000000000000005
AK,2020,8.283333333333333
AK,2021,6.3999999999999995
AK,2022,4.258333333333334
AK,2023,4.241666666666666
AZ,1995,5.341666666666666
AZ,1996,5.483333333333333
AZ,1997,4.616666666666666
AZ,1998,4.25
AZ,1999,4.466666666666667
AZ,2000,3.983333333333333
AZ,2001,4.7250000000000005
AZ,2002,6.158333333333334
AZ,2003,5.783333333333334
AZ,2004,4.958333333333333
AZ,2005,4.641666666666667
AZ,2006,4.266666666666667
AZ,2007,3.6999999999999997
AZ,2008,5.766666666666667
AZ,2009,9.716666666666667
AZ,2010,10.358333333333333
AZ,2011,9.5
AZ,2012,8.391666666666667
AZ,2013,7.841666666666666
AZ,2014,6.816666666666666
AZ,2015,6.108333333333333
AZ,2016,5.5
AZ,2017,4.958333333333333
AZ,2018,4.808333333333334
AZ,2019,4.816666666666666
AZ,2020,7.825
AZ,2021,5.041666666666667
AZ,2022,3.716666666666667
AZ,2023,3.6666666666666665
AR,1995,4.866666666666666
AR,1996,5.166666666666667
AR,1997,5.108333333333333
AR,1998,5.041666666666667
AR,1999,4.516666666666667
AR,2000,4.166666666666667
AR,2001,4.741666666666666
AR,2002,5.333333333333333
AR,2003,5.758333333333333
AR,2004,5.566666666666666
AR,2005,5.266666666666667
AR,2006,5.233333333333333
AR,2007,5.383333333333333
AR,2008,5.416666666666667
AR,2009,7.708333333333333
AR,2010,7.833333333333333
AR,2011,7.883333333333333
AR,2012,7.258333333333333
AR,2013,7.041666666666667
AR,2014,5.875
AR,2015,4.95
AR,2016,3.975
AR,2017,3.7416666666666667
AR,2018,3.65
AR,2019,3.4916666666666667
AR,2020,6.158333333333334
AR,2021,4.033333333333333
AR,2022,3.1750000000000003
AR,2023,3.141666666666667
CA,1995,7.8999999999999995
CA,1996,7.341666666666666
CA,1997,6.3999999999999995
CA,1998,5.966666666666666
CA,1999,5.283333333333333
CA,2000,4.925
CA,2001,5.458333333333333
CA,2002,6.733333333333333
CA,2003,6.8999999999999995
CA,2004,6.2250000000000005
CA,2005,5.391666666666667
CA,2006,4.891666666666667
CA,2007,5.316666666666666
CA,2008,7.283333333333334
CA,2009,11.450000000000001
CA,2010,12.316666666666668
CA,2011,11.733333333333334
CA,2012,10.391666666666667
CA,2013,9.025
CA,2014,7.566666666666666
CA,2015,6.216666666666666
CA,2016,5.516666666666667
CA,2017,4.833333333333333
CA,2018,4.258333333333334
CA,2019,4.091666666666667
CA,2020,10.166666666666666
CA,2021,7.3500000000000005
CA,2022,4.291666666666667
CA,2023,4.7250000000000005
CO,1995,4.008333333333334
CO,1996,4.166666666666667
CO,1997,3.358333333333333
CO,1998,3.6333333333333333
CO,1999,3.0083333333333333
CO,2000,2.725
CO,2001,3.8166666666666664
CO,2002,5.716666666666666
CO,2003,6.116666666666667
CO,2004,5.566666666666666
CO,2005,5.083333333333333
CO,2006,4.25
CO,2007,3.6833333333333336
CO,2008,4.841666666666667
CO,2009,7.949999999999999
CO,2010,9.141666666666667
CO,2011,8.691666666666666
CO,2012,7.991666666666667
CO,2013,6.7250000000000005
CO,2014,4.95
CO,2015,3.6999999999999997
CO,2016,3.1166666666666667
CO,2017,2.6166666666666667
CO,2018,3.025
CO,2019,2.6666666666666665
CO,2020,6.791666666666667
CO,2021,5.508333333333333
CO,2022,3.1
CO,2023,3.3000000000000003
CT,1995,5.3
CT,1996,5.2250000000000005
CT,1997,4.683333333333334
CT,1998,3.225
CT,1999,2.5
CT,2000,2.1583333333333337
CT,2001,2.9333333333333336
CT,2002,4.3500000000000005
CT,2003,5.458333333333333
CT,2004,5.05
CT,2005,4.858333333333333
CT,2006,4.425
CT,2007,4.533333333333333
CT,2008,5.641666666666667
CT,2009,8.258333333333333
CT,2010,9.491666666666667
CT,2011,9.008333333333333
CT,2012,8.383333333333335
CT,2013,7.95
CT,2014,6.616666666666667
CT,2015,5.608333333333333
CT,2016,4.875
CT,2017,4.408333333333333
CT,2018,3.9
CT,2019,3.5833333333333335
CT,2020,8.008333333333333
CT,2021,6.458333333333333
CT,2022,4.033333333333333
CT,2023,3.1999999999999997
DE,1995,4.391666666666667
DE,1996,5.216666666666667
DE,1997,4.058333333333334
DE,1998,3.483333333333333
DE,1999,3.2416666666666667
DE,2000,3.4583333333333335
DE,2001,3.483333333333333
DE,2002,4.083333333333333
DE,2003,4.25
DE,2004,4.008333333333333
DE,2005,4.125
DE,2006,3.5833333333333335
DE,2007,3.4
DE,2008,4.866666666666666
DE,2009,8.158333333333333
DE,2010,8.299999999999999
DE,2011,7.433333333333334
DE,2012,6.958333333333333
DE,2013,6.533333333333334
DE,2014,5.616666666666667
DE,2015,4.808333333333334
DE,2016,4.533333333333333
DE,2017,4.3999999999999995
DE,2018,3.6916666666666664
DE,2019,3.5500000000000003
DE,2020,7.5249999999999995
DE,2021,5.441666666666666
DE,2022,4.175
DE,2023,3.8333333333333335
DC,1995,8.566666666666666
DC,1996,8.458333333333334
DC,1997,8.158333333333333
DC,1998,8.241666666666667
DC,1999,6.55
DC,2000,5.666666666666667
DC,2001,6.308333333333334
DC,2002,6.608333333333333
DC,2003,6.833333333333333
DC,2004,7.5
DC,2005,6.466666666666666
DC,2006,5.833333333333333
DC,2007,5.541666666666667
DC,2008,6.508333333333333
DC,2009,9.541666666666666
DC,2010,9.775
DC,2011,10.083333333333334
DC,2012,8.958333333333334
DC,2013,8.416666666666666
DC,2014,7.716666666666666
DC,2015,6.883333333333333
DC,2016,6.233333333333333
DC,2017,6.108333333333333
DC,2018,5.716666666666666
DC,2019,5.516666666666667
DC,2020,7.966666666666666
DC,2021,6.833333333333333
DC,2022,4.7
DC,2023,4.8500000000000005
FL,1995,5.6000000000000005
FL,1996,5.291666666666667
FL,1997,4.941666666666666
FL,1998,4.433333333333334
FL,1999,3.9416666666666664
FL,2000,3.733333333333333
FL,2001,4.666666666666667
FL,2002,5.641666666666667
FL,2003,5.291666666666667
FL,2004,4.608333333333333
FL,2005,3.7416666666666667
FL,2006,3.283333333333333
FL,2007,4.008333333333334
FL,2008,6.3
FL,2009,10.216666666666667
FL,2010,11.25
FL,2011,10.183333333333334
FL,2012,8.674999999999999
FL,2013,7.516666666666667
FL,2014,6.441666666666666
FL,2015,5.5
FL,2016,4.908333333333334
FL,2017,4.283333333333333
FL,2018,3.641666666666667
FL,2019,3.2416666666666667
FL,2020,8.066666666666666
FL,2021,4.716666666666667
FL,2022,3.016666666666667
FL,2023,2.9499999999999997
GA,1995,4.75
GA,1996,4.625
GA,1997,4.466666666666667
GA,1998,4.175
GA,1999,3.8333333333333335
GA,2000,3.533333333333333
GA,2001,3.983333333333333
GA,2002,4.983333333333333
GA,2003,4.825
GA,2004,4.766666666666667
GA,2005,5.283333333333333
GA,2006,4.658333333333333
GA,2007,4.575
GA,2008,6.408333333333334
GA,2009,9.908333333333333
GA,2010,10.383333333333333
GA,2011,10.033333333333333
GA,2012,9.041666666666666
GA,2013,8.133333333333333
GA,2014,7.1499999999999995
GA,2015,6.05
GA,2016,5.45
GA,2017,4.758333333333334
GA,2018,4.016666666666667
GA,2019,3.6
GA,2020,6.55
GA,2021,3.9416666666666664
GA,2022,3.1666666666666665
GA,2023,3.283333333333333
HI,1995,5.5
HI,1996,5.891666666666667
HI,1997,5.941666666666666
HI,1998,5.791666666666667
HI,1999,5.166666666666667
HI,2000,4.233333333333333
HI,2001,4.2749999999999995
HI,2002,4.041666666666667
HI,2003,3.908333333333333
HI,2004,3.3083333333333336
HI,2005,2.841666666666667
HI,2006,2.566666666666667
HI,2007,2.7416666666666667
HI,2008,4.091666666666667
HI,2009,6.5
HI,2010,6.7
HI,2011,6.708333333333333
HI,2012,5.808333333333334
HI,2013,4.716666666666667
HI,2014,4.2250000000000005
HI,2015,3.4166666666666665
HI,2016,2.908333333333333
HI,2017,2.2333333333333334
HI,2018,2.4
HI,2019,2.5083333333333333
HI,2020,11.741666666666667
HI,2021,5.966666666666666
HI,2022,3.2583333333333333
HI,2023,2.9250000000000003
ID,1995,5.4750000000000005
ID,1996,5.3999999999999995
ID,1997,5.25
ID,1998,5.2250000000000005
ID,1999,4.983333333333333
ID,2000,4.625
ID,2001,5.075
ID,2002,5.641666666666667
ID,2003,5.591666666666666
ID,2004,4.8999999999999995
ID,2005,4.0249999999999995
ID,2006,3.391666666666667
ID,2007,2.9499999999999997
ID,2008,5.016666666666667
ID,2009,9.025
ID,2010,9.125
ID,2011,8.441666666666666
ID,2012,7.5249999999999995
ID,2013,6.8999999999999995
ID,2014,4.408333333333333
ID,2015,3.908333333333333
ID,2016,3.7083333333333335
ID,2017,3.1833333333333336
ID,2018,2.875
ID,2019,2.8833333333333333
ID,2020,5.55
ID,2021,3.5749999999999997
ID,2022,2.875
ID,2023,3.1999999999999997
IL,1995,5.2
IL,1996,5.291666666666667
IL,1997,4.783333333333333
IL,1998,4.466666666666667
IL,1999,4.425
IL,2000,4.458333333333333
IL,2001,5.433333333333334
IL,2002,6.55
IL,2003,6.75
IL,2004,6.191666666666666
IL,2005,5.733333333333333
IL,2006,4.625
IL,2007,5.058333333333334
IL,2008,6.508333333333333
IL,2009,9.966666666666667
IL,2010,10.391666666666667
IL,2011,9.766666666666667
IL,2012,9.033333333333333
IL,2013,9.075000000000001
IL,2014,7.158333333333334
IL,2015,5.991666666666667
IL,2016,5.883333333333333
IL,2017,4.958333333333333
IL,2018,4.391666666666667
IL,2019,3.975
