state,year,suicide_rate,hpi_growth,log_suicide
AK,1999,16.8,,2.8213788864092133
AK,2000,21.5,2.064982791810066,3.068052935133617
AK,2001,15.9,5.412356403954965,2.766319109226186
AK,2002,20.8,4.857948384298427,3.0349529867072724
AK,2003,20.3,8.634953464322637,3.0106208860477417
AK,2004,23.0,9.447881960970973,3.1354942159291497
AK,2005,19.9,13.307240704501,2.990719731730447
AK,2006,19.9,6.751103435041239,2.990719731730447
AK,2007,22.6,1.8803480261738723,3.1179499062782403
AK,2008,24.4,-0.2752584959593518,3.194583132299156
AK,2009,20.0,-0.6511199971690362,2.995732273553991
AK,2010,22.8,0.3027604630454261,3.126760535960395
AK,2011,20.0,0.7492897727272574,2.995732273553991
AK,2012,23.0,0.8811814881392932,3.1354942159291497
AK,2013,23.2,2.686838335487929,3.1441522786722644
AK,2014,22.1,2.228649200408306,3.095577608523707
AK,2015,26.9,3.158595440173073,3.292126286607793
AK,2016,25.8,1.1615151319610328,3.250374491927572
AK,2017,27.0,1.9423359061044865,3.295836866004329
AK,2018,28.5,0.40359165284862275,3.349904087274605
AK,2019,28.8,2.9010345257385106,3.3603753871419
AK,2020,27.4,4.263695000454226,3.3105430133940246
AK,2021,26.8,10.926200226540029,3.288401887516811
AK,2022,27.0,8.616762233917207,3.295836866004329
AL,1999,12.5,,2.525728644308256
AL,2000,13.1,3.3035066505441524,2.5726122302071057
AL,2001,11.4,5.262665043543402,2.4336133554004498
AL,2002,11.5,3.376034160661856,2.4423470353692043
AL,2003,11.4,3.21414741190138,2.4336133554004498
AL,2004,11.7,5.03585125896282,2.4595888418037104
AL,2005,11.5,8.040958882362293,2.4423470353692043
AL,2006,12.4,7.413121739769291,2.517696472610991
AL,2007,12.4,3.0266757865937244,2.517696472610991
AL,2008,12.6,0.0298755186721955,2.533696813957432
AL,2009,13.7,-3.029800225658718,2.617395832834079
AL,2010,14.0,-2.402381848670465,2.6390573296152584
AL,2011,13.2,-2.4404782776394573,2.580216829592325
AL,2012,14.7,-0.9057254789203272,2.6878474937846906
AL,2013,14.4,-1.3637517681621911,2.667228206581955
AL,2014,14.5,2.467365324508197,2.6741486494265287
AL,2015,14.9,2.6160912940500936,2.7013612129514133
AL,2016,15.7,2.888616891064877,2.7536607123542622
AL,2017,16.6,3.4023316678563065,2.8094026953624978
AL,2018,16.9,3.681546249424761,2.8273136219290276
AL,2019,16.4,6.042736668568893,2.797281334830153
AL,2020,16.0,6.822530495096868,2.772588722239781
AL,2021,16.8,17.458718164007834,2.8213788864092133
AL,2022,17.2,11.606462066336242,2.8449093838194073
AR,1999,12.6,,2.533696813957432
AR,2000,13.0,3.4801862155104057,2.5649493574615367
AR,2001,14.3,5.244966258846762,2.660259537265861
AR,2002,14.0,3.690767867382561,2.6390573296152584
AR,2003,13.6,4.187823638831634,2.6100697927420065
AR,2004,13.0,6.441806601042277,2.5649493574615367
AR,2005,14.3,7.4844734575456595,2.660259537265861
AR,2006,13.3,4.900885702235347,2.5877640352277083
AR,2007,14.2,1.853489868124813,2.653241964607215
AR,2008,15.5,-1.0026447716417364,2.740840023925201
AR,2009,14.5,-2.400414689580921,2.6741486494265287
AR,2010,15.5,-1.1561874412714055,2.740840023925201
AR,2011,16.0,-0.9217161279656104,2.772588722239781
AR,2012,16.3,0.7383922239372565,2.791165107812717
AR,2013,17.3,0.5631936392247905,2.8507065015037334
AR,2014,17.3,2.5860648986987256,2.8507065015037334
AR,2015,19.1,2.557000642260765,2.9496883350525844
AR,2016,18.2,2.493248268033965,2.9014215940827497
AR,2017,20.8,3.5056900633926524,3.0349529867072724
AR,2018,18.8,3.6415289256198413,2.9338568698359038
AR,2019,18.8,4.04043999857604,2.9338568698359038
AR,2020,17.8,5.56696092520359,2.8791984572980396
AR,2021,18.5,17.83294979418535,2.917770732084279
AR,2022,19.0,12.581488103424565,2.9444389791664403
AZ,1999,15.5,,2.740840023925201
AZ,2000,15.6,6.364478287713515,2.747270914255491
AZ,2001,14.8,6.327093310114651,2.694627180770069
AZ,2002,16.6,5.654883763250074,2.8094026953624978
AZ,2003,15.5,7.311401997933165,2.740840023925201
AZ,2004,15.8,16.13433913811091,2.760009940032921
AZ,2005,16.4,35.711571018899214,2.797281334830153
AZ,2006,16.3,7.782784694111355,2.791165107812717
AZ,2007,16.5,-5.083144368858661,2.803360380906535
AZ,2008,15.5,-18.507366115867,2.740840023925201
AZ,2009,16.7,-14.856322716584735,2.815408719422709
AZ,2010,17.0,-8.589771178538118,2.833213344056216
AZ,2011,17.8,-7.568564366147445,2.87919845729804
AZ,2012,17.3,8.048221410985645,2.8507065015037334
AZ,2013,17.5,13.267070008643046,2.862200880929469
AZ,2014,18.0,6.551975304359892,2.8903717578961645
AZ,2015,18.2,6.536458333333339,2.9014215940827497
AZ,2016,17.7,6.697628941579081,2.873564639579784
AZ,2017,18.2,7.5114547537227905,2.9014215940827497
AZ,2018,19.1,7.8683110033827885,2.9496883350525844
AZ,2019,18.5,6.659752574264743,2.917770732084279
AZ,2020,17.8,10.077788581747482,2.8791984572980396
AZ,2021,18.2,28.32986308284433,2.9014215940827497
AZ,2022,18.5,9.943130602946738,2.917770732084279
CA,1999,9.6,,2.26176309847379
CA,2000,9.1,14.168000000000005,2.2082744135228043
CA,2001,8.5,10.82615093546353,2.1400661634962708
CA,2002,9.6,13.372534142640369,2.26176309847379
CA,2003,9.9,14.6422396966148,2.2925347571405443
CA,2004,9.7,25.488288375939483,2.272125885509337
CA,2005,9.1,21.19126996433556,2.2082744135228043
CA,2006,9.3,2.760495801679319,2.2300144001592104
CA,2007,9.9,-10.46676316321925,2.2925347571405443
CA,2008,10.3,-22.7427597955707,2.33214389523559
CA,2009,10.2,-7.224984812006396,2.322387720290225
CA,2010,10.3,-1.5885719829258904,2.33214389523559
